,area,name,address,price,score,stu_num
0,江岸区,宏达驾校,湖北武汉市解放大道2349号,3800,5,12134
1,江岸区,满堂红驾校,武汉市江岸区满堂红驾校(中一路训练场报名处),2200,4.4,630
2,江岸区,蓝盾驾校,武汉市黄陂区前川街院岗村88号前川考场,2200,4.4,11844
3,江岸区,胜赢驾校,湖北省武汉市江岸区解放大道堤角轻轨站,3100,4.4,8290
4,江岸区,腾飞驾校,中一路,2800,4.7,3184
5,江岸区,安康驾校,江岸区工农兵路125号,3005,4.3,8632
6,江岸区,奥通驾校,落雁路与雁中路交叉口南100米,500,4.5,4705
7,江岸区,远通驾校,湖北省武汉市江岸区,2880,3.8,3538
8,江岸区,永信驾校,东西湖区吴家山吴中街吴中路560号（东西湖人民检察院旁）,2880,4,2169
9,江岸区,兰基驾校,湖北省武汉市江岸区,3000,4.5,1600
10,江岸区,楚风星辰驾校,湖北省武汉市江岸区新村街办事处发展大道821号润禾大厦机动车驾驶员培训中心一楼31号台,2800,4.2,1022
11,江岸区,金凯驾校,江汉区解放大道1012号,,2.7,786
12,江岸区,信达驾校,汉西北路48号,,3.9,1142
13,江岸区,三山驾校,唐家屯工贸附近,,4.5,915
14,江岸区,前卫驾校,解放大道1214号,,3,72
15,江岸区,泰昌驾校,北湖新华下路18号,,5,65
16,江岸区,奇顺驾校,球场路42,,3,75
17,江汉区,天天驾校,江汉区天天驾校地址常青公园华安里社区园林内,2800,4.3,8680
18,江汉区,恒轩驾校,江汉区建设大道631号,2800,4.5,3904
19,江汉区,楚成驾校,江汉区青年路271号,,4.5,2844
20,江汉区,圣鹏驾校,江汉区友谊南路26号,,5,168
21,江汉区,蔬菜驾校,江汉区新华路77号,,3,49
22,硚口区,兰剑驾校,武汉市汉阳区兰剑集团建安驾校(琴台基地),2600,4.1,44819
23,硚口区,为民驾校,古田路轻轨1号线左50米,2800,4.6,2708
24,硚口区,海峰驾校,　　武汉市硚口古田长丰大道9号,2800,4.2,1416
25,汉阳区,江城明珠驾校,湖北省武汉市蔡甸区沌口经济开发区芳草二路248号,2200,3.9,26756
26,汉阳区,芊宇驾校,湖北省武汉市蔡甸区沌阳街道芳草路248号,2800,4.9,2608
27,汉阳区,湖北芊宇驾校汉阳十里铺分校,湖北省武汉市蔡甸区沌阳街道芳草路科目一考场,2699,3,11
28,汉阳区,宝通驾校,湖北省武汉市武昌区宏祥路,2680,4.7,7873
29,汉阳区,国兴驾校,湖北省武汉市汉阳区江堤街街道新民路,2100,4.4,2199
30,汉阳区,芊宇驾校汉阳沌口分校,湖北省武汉市蔡甸区沌阳街道芊宇驾校,2200,5,58
